timestamp, power.draw [W], utilization.gpu [%]
2026/02/12 17:17:04.009, 11.01 W, 0 %
2026/02/12 17:17:05.009, 11.41 W, 0 %
2026/02/12 17:17:06.009, 10.88 W, 0 %
2026/02/12 17:17:07.010, 10.31 W, 0 %
2026/02/12 17:17:08.010, 10.26 W, 0 %
2026/02/12 17:17:09.010, 9.79 W, 0 %
2026/02/12 17:17:10.010, 9.95 W, 0 %
2026/02/12 17:17:11.010, 10.29 W, 0 %
2026/02/12 17:17:12.011, 10.53 W, 0 %
2026/02/12 17:17:13.011, 10.58 W, 0 %
2026/02/12 17:17:14.011, 10.69 W, 0 %
2026/02/12 17:17:15.011, 10.32 W, 0 %
2026/02/12 17:17:16.011, 10.43 W, 0 %
2026/02/12 17:17:17.011, 10.39 W, 0 %
2026/02/12 17:17:18.011, 10.37 W, 0 %
2026/02/12 17:17:19.012, 10.40 W, 0 %
2026/02/12 17:17:20.012, 10.43 W, 0 %
2026/02/12 17:17:21.012, 10.71 W, 0 %
2026/02/12 17:17:22.012, 10.05 W, 0 %
2026/02/12 17:17:23.012, 9.77 W, 0 %
2026/02/12 17:17:24.012, 9.99 W, 0 %
2026/02/12 17:17:25.012, 10.58 W, 0 %
2026/02/12 17:17:26.012, 11.18 W, 0 %
2026/02/12 17:17:27.013, 11.27 W, 0 %
2026/02/12 17:17:28.013, 11.02 W, 0 %
2026/02/12 17:17:29.013, 10.14 W, 0 %
2026/02/12 17:17:30.013, 10.15 W, 0 %
2026/02/12 17:17:31.013, 10.31 W, 0 %
2026/02/12 17:17:32.013, 10.40 W, 0 %
2026/02/12 17:17:33.014, 10.75 W, 0 %
2026/02/12 17:17:34.014, 11.16 W, 0 %
2026/02/12 17:17:35.014, 11.40 W, 0 %
2026/02/12 17:17:36.014, 11.25 W, 0 %
2026/02/12 17:17:37.014, 11.17 W, 0 %
2026/02/12 17:17:38.014, 11.06 W, 0 %
2026/02/12 17:17:39.015, 11.07 W, 0 %
2026/02/12 17:17:40.015, 11.18 W, 0 %
2026/02/12 17:17:41.015, 11.13 W, 0 %
2026/02/12 17:17:42.015, 10.84 W, 0 %
2026/02/12 17:17:43.015, 10.77 W, 0 %
2026/02/12 17:17:44.015, 10.96 W, 0 %
2026/02/12 17:17:45.016, 11.13 W, 0 %
2026/02/12 17:17:46.016, 10.92 W, 0 %
2026/02/12 17:17:47.016, 10.68 W, 0 %
2026/02/12 17:17:48.016, 10.65 W, 0 %
2026/02/12 17:17:49.016, 10.96 W, 0 %
2026/02/12 17:17:50.016, 11.09 W, 0 %
2026/02/12 17:17:51.017, 10.93 W, 0 %
2026/02/12 17:17:52.017, 11.29 W, 0 %
2026/02/12 17:17:53.017, 10.70 W, 0 %
2026/02/12 17:17:54.017, 10.37 W, 0 %
2026/02/12 17:17:55.017, 10.83 W, 0 %
2026/02/12 17:17:56.017, 11.03 W, 0 %
2026/02/12 17:17:57.018, 10.60 W, 0 %
2026/02/12 17:17:58.018, 10.66 W, 0 %
2026/02/12 17:17:59.018, 10.70 W, 0 %
2026/02/12 17:18:00.018, 10.63 W, 0 %
2026/02/12 17:18:01.018, 10.02 W, 0 %
2026/02/12 17:18:02.018, 9.97 W, 0 %
2026/02/12 17:18:03.018, 9.91 W, 0 %
2026/02/12 17:18:04.019, 10.52 W, 0 %
2026/02/12 17:18:05.019, 9.82 W, 0 %
2026/02/12 17:18:06.019, 9.65 W, 0 %
2026/02/12 17:18:07.019, 10.02 W, 0 %
2026/02/12 17:18:08.019, 10.56 W, 0 %
2026/02/12 17:18:09.019, 10.74 W, 0 %
2026/02/12 17:18:10.020, 10.83 W, 0 %
2026/02/12 17:18:11.020, 11.08 W, 0 %
2026/02/12 17:18:12.020, 10.77 W, 0 %
2026/02/12 17:18:13.020, 10.38 W, 0 %
2026/02/12 17:18:14.020, 11.12 W, 0 %
2026/02/12 17:18:15.020, 10.94 W, 0 %
2026/02/12 17:18:16.020, 10.68 W, 0 %
2026/02/12 17:18:17.021, 10.90 W, 0 %
2026/02/12 17:18:18.021, 11.52 W, 0 %
2026/02/12 17:18:19.021, 10.91 W, 0 %
2026/02/12 17:18:20.021, 10.61 W, 0 %
2026/02/12 17:18:21.021, 10.19 W, 0 %
2026/02/12 17:18:22.021, 10.76 W, 0 %
2026/02/12 17:18:23.022, 11.44 W, 0 %
2026/02/12 17:18:24.022, 11.46 W, 0 %
2026/02/12 17:18:25.022, 11.21 W, 0 %
2026/02/12 17:18:26.022, 11.01 W, 0 %
2026/02/12 17:18:27.022, 11.22 W, 0 %
2026/02/12 17:18:28.022, 11.66 W, 0 %
2026/02/12 17:18:29.023, 11.27 W, 0 %
2026/02/12 17:18:30.023, 11.61 W, 0 %
2026/02/12 17:18:31.023, 12.02 W, 0 %
2026/02/12 17:18:32.023, 11.44 W, 0 %
2026/02/12 17:18:33.023, 11.70 W, 0 %
2026/02/12 17:18:34.023, 11.52 W, 0 %
2026/02/12 17:18:35.023, 12.00 W, 0 %
2026/02/12 17:18:36.024, 12.07 W, 0 %
2026/02/12 17:18:37.024, 11.95 W, 0 %
2026/02/12 17:18:38.024, 11.79 W, 0 %
2026/02/12 17:18:39.024, 11.92 W, 0 %
2026/02/12 17:18:40.024, 12.05 W, 0 %
2026/02/12 17:18:41.024, 11.80 W, 0 %
2026/02/12 17:18:42.025, 11.15 W, 0 %
2026/02/12 17:18:43.025, 11.01 W, 0 %
2026/02/12 17:18:44.025, 11.43 W, 0 %
2026/02/12 17:18:45.025, 11.76 W, 0 %
2026/02/12 17:18:46.025, 11.90 W, 0 %
2026/02/12 17:18:47.025, 12.23 W, 0 %
2026/02/12 17:18:48.026, 11.13 W, 0 %
2026/02/12 17:18:49.026, 10.91 W, 0 %
2026/02/12 17:18:50.026, 11.18 W, 0 %
2026/02/12 17:18:51.026, 11.57 W, 0 %
2026/02/12 17:18:52.026, 11.55 W, 0 %
2026/02/12 17:18:53.026, 11.23 W, 0 %
2026/02/12 17:18:54.027, 11.28 W, 0 %
2026/02/12 17:18:55.027, 11.57 W, 0 %
2026/02/12 17:18:56.027, 11.77 W, 0 %
2026/02/12 17:18:57.027, 11.70 W, 0 %
2026/02/12 17:18:58.027, 11.59 W, 0 %
