         Time         	W	
 03/01/2011 06:48:15	-65,1690	
 03/01/2011 06:48:16	-65,9500	
 03/01/2011 06:48:17	-68,2710	
 03/01/2011 06:48:18	-68,6550	
 03/01/2011 06:48:19	-68,0090	
 03/01/2011 06:48:20	-67,2250	
 03/01/2011 06:48:21	-64,7750	
 03/01/2011 06:48:22	-62,8140	
 03/01/2011 06:48:23	-61,7310	
 03/01/2011 06:48:24	-61,5000	
 03/01/2011 06:48:25	-61,7860	
 03/01/2011 06:48:26	-64,1050	
 03/01/2011 06:48:27	-65,2530	
 03/01/2011 06:48:28	-67,4420	
 03/01/2011 06:48:29	-70,5020	
 03/01/2011 06:48:30	-69,7360	
 03/01/2011 06:48:31	-69,1900	
 03/01/2011 06:48:32	-67,9780	
 03/01/2011 06:48:33	-65,6370	
 03/01/2011 06:48:34	-64,8460	
 03/01/2011 06:48:35	-64,5690	
 03/01/2011 06:48:36	-63,9870	
 03/01/2011 06:48:37	-63,9570	
 03/01/2011 06:48:38	-63,4740	
 03/01/2011 06:48:39	-63,0310	
 03/01/2011 06:48:40	-62,8580	
 03/01/2011 06:48:41	-64,0080	
 03/01/2011 06:48:42	-64,7590	
 03/01/2011 06:48:43	-65,0800	
 03/01/2011 06:48:44	-65,0960	
 03/01/2011 06:48:45	-63,5400	
 03/01/2011 06:48:46	-63,1620	
 03/01/2011 06:48:47	-63,0680	
 03/01/2011 06:48:48	-63,3880	
 03/01/2011 06:48:49	-63,5820	
